Execution Time: 13296 ms,,,
957,472136,522566,1
1057,492240,539242,1
1111,514225,536816,1
1149,479144,530599,1
1201,528431,548215,1
1208,497761,545339,1
1209,503305,541419,1
1228,491170,526141,1
1572,447100,578447,1
1573,435369,600655,1
1574,450681,614019,1
1575,446408,617816,1
1576,458825,608028,1
1577,437246,626679,1
1578,454357,627922,1
1579,472602,547751,1
1580,446070,660584,1
1581,436173,596885,1
1582,427674,649409,1
1583,429283,696036,1
1584,443685,556528,1
1585,459542,604591,1
1586,432232,612326,1
1587,441101,632597,1
1588,434308,622475,1
1589,451267,521677,1
1590,440009,607204,1
1591,452407,650191,1
1592,439403,647691,1
1593,443034,608016,1
1594,444433,600811,1
1595,454532,645000,1
1596,424823,632310,1
1597,440107,607385,1
1598,451719,596564,1
1599,443376,615484,1
1600,445431,608977,1
1601,444904,608335,1
1602,440573,587754,1
1603,420214,670760,1
1604,435259,600545,1
1605,452350,614438,1
1606,462959,604618,1
1607,437911,580427,1
1608,438421,597731,1
1609,448067,624888,1
1610,444800,611906,1
1611,437290,592669,1
1612,435894,584536,1
1614,452789,601477,1
1615,444481,611260,1
1616,431354,637354,1
1617,430530,606861,1
1618,443303,611108,1
1619,445232,613051,1
1621,429547,618065,1
1622,443000,608074,1
1623,435259,597598,1
1624,443703,660042,1
1625,427786,615834,1
1626,459700,534846,1
1627,452060,618631,1
1628,442216,648286,1
1629,462253,537194,1
1630,438157,612420,1
1631,427937,624218,1
1632,439556,639152,1
1633,451591,614155,1
1634,444028,612568,1
1635,447920,560215,1
1636,451407,613075,1
1637,441417,591083,1
1638,437912,608595,1
1639,442093,606830,1
1640,431324,619224,1
1641,452444,572715,1
1642,435969,661051,1
1643,443881,624977,1
1644,444942,615911,1
1645,442766,614279,1
1646,429488,612140,1
1647,432383,651805,1
1648,456268,606299,1
1649,446119,601343,1
1650,457620,595627,1
1651,455587,621993,1
1652,449467,594608,1
1654,442884,634567,1
1655,454183,557625,1
1656,446602,609863,1
1657,447314,660847,1
1658,444661,611980,1
1659,449484,620119,1
1660,460069,601972,1
1661,443667,610462,1
1662,429709,610420,1
1663,432770,626516,1
1664,465949,562223,1
1665,454289,596414,1
1666,454280,559579,1
1667,438734,570107,1
1668,427073,632543,1
1669,427633,671587,1
1670,435182,619799,1
1671,455398,637265,1
1672,439176,594910,1
1673,430654,624767,1
1674,442973,609902,1
1675,446490,615129,1
1676,457700,581592,1
1677,436458,684903,1
1678,439176,608167,1
1679,444716,611868,1
1680,432474,624072,1
1682,460814,598923,1
1683,440610,616231,1
1684,444957,611326,1
1685,451341,621998,1
1686,445433,600419,1
1687,453151,609498,1
1688,447397,603115,1
1689,435903,607885,1
1690,461734,555207,1
1691,445257,622466,1
1692,440588,612912,1
1693,433033,596889,1
1694,455143,610900,1
1695,440304,609973,1
1696,445410,611847,1
1697,443089,599479,1
1698,441386,593318,1
1699,439642,618354,1
1700,437908,613112,1
1701,441050,601420,1
1702,444301,603484,1
1703,453398,598101,1
1704,465954,589137,1
1705,433377,611151,1
1706,458454,615360,1
1707,435929,617842,1
1708,421163,659446,1
1709,444871,618411,1
1710,450314,633443,1
1711,439463,599626,1
1712,448441,609380,1
1715,458830,569403,1
1716,447284,614788,1
1717,453260,604938,1
1718,448654,619238,1
1719,451594,607751,1
1720,455084,577509,1
1721,460103,537011,1
1722,431669,612443,1
1723,441182,595293,1
1724,440135,646871,1
1725,462743,607252,1
1726,433777,658240,1
1727,449852,588780,1
1728,447370,572513,1
1729,446663,665376,1
1730,453116,618005,1
1731,443435,574546,1
1732,432211,640079,1
1733,445068,585477,1
1734,445275,610456,1
1735,437400,589213,1
1736,451402,606954,1
1737,442169,606218,1
1738,454191,645997,1
1739,436337,595330,1
1740,441697,647732,1
1741,438007,605764,1
1742,463609,594447,1
1743,454851,622054,1
1744,457673,601276,1
1745,448431,652248,1
1747,450238,522433,1
1748,467528,527093,1
1749,460222,611610,1
1750,447791,590725,1
1751,423351,683613,1
1752,451508,619873,1
1753,458908,601967,1
1754,447797,546020,1
1755,431542,625990,1
1756,422092,641107,1
1757,447028,613881,1
1758,450049,619865,1
1759,447016,561170,1
1760,448043,593794,1
1761,439602,621588,1
1762,448315,608918,1
1763,435287,618215,1
1764,457799,531754,1
1765,449352,662964,1
