Execution Time: 15980 milliseconds
p3217,333883.0,276840.0,1
p3951,406184.0,394506.0,1
p3952,417996.0,408162.0,1
p3953,428667.0,451233.0,1
p3954,425386.0,379634.0,1
p3955,388202.0,405780.0,1
p3956,370955.0,325071.0,1
p3957,353749.0,391896.0,1
p3958,398629.0,401626.0,1
p3959,393402.0,401018.0,1
p3960,465599.0,383470.0,1
p3961,400257.0,404936.0,1
p3962,444610.0,400247.0,1
p3963,392046.0,391220.0,1
p3964,410506.0,395586.0,1
p3965,508805.0,429073.0,1
p3966,424782.0,449687.0,1
p3967,384467.0,407359.0,1
p3968,397399.0,403186.0,1
p3969,449683.0,388863.0,1
p3970,387756.0,435588.0,1
p3971,451753.0,383440.0,1
p3972,414448.0,429790.0,1
p3973,394599.0,409068.0,1
p3974,387330.0,409037.0,1
p3975,402109.0,430185.0,1
p3976,393825.0,453067.0,1
p3977,412111.0,418466.0,1
p3978,397213.0,377839.0,1
p3979,361159.0,436327.0,1
p3980,383075.0,447616.0,1
p3981,383832.0,340506.0,1
p3982,402227.0,414685.0,1
p3983,411957.0,397796.0,1
p3984,377408.0,395123.0,1
p3985,417231.0,381303.0,1
p3986,442915.0,420573.0,1
p3987,415394.0,396940.0,1
p3988,420792.0,430901.0,1
p3989,397791.0,444527.0,1
p3990,385804.0,393101.0,1
p3991,384572.0,388523.0,1
p3992,402069.0,434868.0,1
p3993,414997.0,432597.0,1
p3994,392919.0,405103.0,1
p3995,396150.0,430329.0,1
p3996,439145.0,407748.0,1
p3997,401240.0,354085.0,1
p3998,424228.0,442208.0,1
p3999,336023.0,416862.0,1
p4000,351352.0,362910.0,1
p4001,413549.0,408517.0,1
p4002,341775.0,425156.0,1
p4003,424811.0,413300.0,1
p4004,402677.0,412615.0,1
p4005,419118.0,421655.0,1
p4006,354601.0,358760.0,1
p4007,410682.0,349328.0,1
p4008,399020.0,404042.0,1
p4009,392258.0,405478.0,1
p4010,353941.0,399967.0,1
p4011,411471.0,446824.0,1
p4012,397158.0,370362.0,1
p4013,431117.0,394746.0,1
p4014,395246.0,392783.0,1
p4015,400468.0,405703.0,1
p4016,354094.0,424230.0,1
p4017,352429.0,359750.0,1
p4018,358830.0,431609.0,1
p4019,387039.0,365758.0,1
p4020,395013.0,387179.0,1
p4021,400545.0,404212.0,1
p4022,435067.0,403802.0,1
p4023,394436.0,450912.0,1
p4024,376444.0,371957.0,1
p4025,433463.0,410297.0,1
p4026,426625.0,475977.0,1
p4027,424241.0,452915.0,1
p4028,396520.0,405610.0,1
p4029,347638.0,429109.0,1
p4030,374797.0,407601.0,1
p4031,451670.0,388347.0,1
p4032,373684.0,418326.0,1
p4033,412615.0,403902.0,1
p4034,392428.0,402295.0,1
p4035,389868.0,410718.0,1
p4036,383022.0,409854.0,1
p4037,468350.0,395883.0,1
p4038,373339.0,398565.0,1
p4039,383878.0,376230.0,1
p4040,434815.0,388041.0,1
p4041,368864.0,411216.0,1
p4042,321050.0,422497.0,1
p4043,276794.0,384458.0,1
p4044,383197.0,409869.0,1
p4045,381340.0,409680.0,1
p4046,415521.0,368125.0,1
p4047,404288.0,349685.0,1
p4048,367922.0,415238.0,1
p4049,422056.0,382193.0,1
p4050,407334.0,445969.0,1
p4051,373917.0,427628.0,1
p4052,422261.0,374345.0,1
p4053,392728.0,411341.0,1
p4054,336585.0,420977.0,1
p4055,401730.0,354294.0,1
p4056,401854.0,402867.0,1
p4057,401330.0,395538.0,1
p4058,393903.0,387227.0,1
p4059,399188.0,402459.0,1
p4060,389510.0,370897.0,1
p4061,399858.0,403574.0,1
p4062,343651.0,438750.0,1
p4063,388743.0,388465.0,1
